Outlet_Display,Year,Measure,Total,Rep/Lean Rep,Dem/Lean Dem,Ages 18-29,30-49,50-64,65+
The Joe Rogan Experience,2025,distrust,24,9,40,29,28,22,16
Breitbart,2025,distrust,17,8,26,13,20,17,15
Univision,2025,distrust,8,12,5,5,9,10,7
Fox News,2025,distrust,42,21,64,47,45,39,37
CNN,2025,distrust,36,58,14,39,33,38,34
MSNBC,2025,distrust,29,49,11,24,28,33,32
The New York Times,2025,distrust,22,37,7,20,20,26,23
The Washington Post,2025,distrust,22,33,11,19,21,24,22
PBS,2025,distrust,15,26,4,11,13,19,17
Axios,2025,distrust,6,10,3,2,6,8,7
USA Today,2025,distrust,18,28,8,16,18,22,17
HuffPost,2025,distrust,18,26,10,16,20,20,14
Newsweek,2025,distrust,15,23,7,11,15,18,15
Politico,2025,distrust,13,22,5,8,12,17,16
BBC News,2025,distrust,13,21,5,14,13,14,10
The Daily Wire,2025,distrust,10,10,10,15,12,9,4
Tucker Carlson Network,2025,distrust,9,6,13,13,9,8,9
ABC News,2025,trust-ratio,1.78,-1.64,9.06,1.73,1.82,1.58,2.01
NBC News,2025,trust-ratio,1.69,-1.78,8.28,1.59,1.66,1.51,2.04
CBS News,2025,trust-ratio,1.71,-1.78,9.06,1.70,1.66,1.50,2.04
Telemundo,2025,trust-ratio,-1.06,-2.38,2.34,1.51,1.02,-1.61,-1.09
The Wall Street Journal,2025,trust-ratio,1.98,1.07,4.42,1.47,1.84,1.88,2.95
New York Post,2025,trust-ratio,-1.60,-1.83,-1.42,-2.07,-1.95,-1.40,-1.14
NPR,2025,trust-ratio,2.01,-2.17,14.10,3.38,2.46,1.45,1.60
The Hill,2025,trust-ratio,1.05,-1.90,2.27,1.03,1.07,-1.24,1.40
The Atlantic,2025,trust-ratio,1.40,-4.64,6.18,1.48,1.30,1.12,1.91
The Guardian,2025,trust-ratio,1.30,-2.32,3.54,1.36,1.17,1.25,1.55
Forbes,2025,trust-ratio,1.88,1.11,3.67,1.30,1.67,2.06,3.21
The Associated Press,2025,trust-ratio,2.17,-1.65,16.91,2.79,2.43,1.71,2.11
Newsmax,2025,trust-ratio,-1.33,2.97,-10.66,-4.15,-2.64,1.04,1.41
The Joe Rogan Experience,2025,trust-ratio,-1.46,3.47,-12.44,-1.69,-1.81,-1.13,-1.10
Breitbart,2025,trust-ratio,-3.20,1.27,-40.78,-13.21,-6.57,-2.00,-1.70
Univision,2025,trust-ratio,1.10,-2.22,2.66,2.15,1.29,-1.51,-1.23
Fox News,2025,trust-ratio,-1.12,2.68,-3.44,-1.68,-1.40,1.09,1.32
CNN,2025,trust-ratio,1.10,-2.85,4.17,-1.17,1.17,1.06,1.29
MSNBC,2025,trust-ratio,-1.01,-3.45,4.10,-1.18,-1.04,-1.03,1.15
The New York Times,2025,trust-ratio,1.45,-2.30,6.64,1.78,1.63,1.12,1.39
The Washington Post,2025,trust-ratio,1.16,-2.35,3.43,1.42,1.16,1.01,1.15
PBS,2025,trust-ratio,2.74,-1.12,15.95,3.04,3.11,2.15,2.83
Axios,2025,trust-ratio,1.02,-4.43,4.20,2.52,1.07,-1.51,-1.02
USA Today,2025,trust-ratio,1.51,-1.57,4.61,1.28,1.51,1.36,1.95
HuffPost,2025,trust-ratio,-2.31,-10.94,1.35,-3.92,-2.92,-2.14,-1.35
Newsweek,2025,trust-ratio,1.28,-1.99,3.76,-1.92,-1.03,1.39,2.07
Politico,2025,trust-ratio,-1.05,-4.92,4.27,1.36,1.04,-1.32,-1.10
BBC News,2025,trust-ratio,2.78,-1.04,10.97,2.11,2.93,2.58,3.64
The Daily Wire,2025,trust-ratio,-1.21,1.38,-3.61,-1.57,-1.46,1.09,1.44
Tucker Carlson Network,2025,trust-ratio,-1.21,2.53,-12.79,-3.77,-1.41,1.37,1.22
